"COUNTY","NUM","ROUTE","ACROSS","DIVISION","YEARBUILT","STRUCTURALLYDEFICIENT","FUNCTIONALLYOBSOLETE","SR","POSTEDSV","POSTEDTTST"
"RANDOLPH",169,"NC22","SANDY CREEK",8,1991,"N","N",81.9,"Not Posted","Not Posted"
"PITT",78,"US13/NC11","GRINDLE CREEK",2,1999,"N","N",94.6,"Not Posted","Not Posted"
"MCDOWELL",31,"I-40 WBL","MILL CREEK",13,1990,"N","N",98,"Not Posted","Not Posted"
"ASHE",98,"SR1628","ROAN CREEK",11,1964,"N","FO",49,"16","21"
"MCDOWELL",26,"NC226","US64",13,1955,"N","FO",63.5,"Not Posted","Not Posted"
"ROCKINGHAM",181,"SR1501","MATRIMONY CREEK",7,2005,"N","N",96.2,"Not Posted","Not Posted"
"WILKES",770,"US421 BYP SBL","NC 268",11,2004,"N","N",98,"Not Posted","Not Posted"
"BURKE",197,"SR1917","CREEK",13,1958,"N","N",93.5,"Not Posted","Not Posted"
"WASHINGTON",98,"SR1342","CONABY CREEK",1,1969,"N","N",83.5,"Not Posted","Not Posted"
"MOORE",46,"SR1658","MCINTOSH CREEK",8,1970,"SD","N",54,"24","27"
"MOORE",167,"SR1216","JOE'S FORK",8,1971,"SD","N",48.9,"15","19"
"EDGECOMBE",323,"NC11","US64",4,1997,"N","N",86.8,"Not Posted","Not Posted"
"SCOTLAND",53,"SR1619","LEITH'S CREEK",8,2005,"N","N",98.8,"Not Posted","Not Posted"
"NASH",322,"NC43","TAR RIVER",4,1997,"N","N",86.4,"Not Posted","Not Posted"
"HAYWOOD",45,"SR1363","CREEK",14,1952,"N","N",73.4,"25","41"
"CABARRUS",53,"SR2114","COLD WATER CREEK",10,1957,"SD","FO",17.4,"24","28"
"RANDOLPH",208,"SR1003","FORK CREEK",8,1938,"SD","FO",25.9,"12","15"
"COLUMBUS",71,"SR1150","CREEK",6,1997,"N","N",89.4,"Not Posted","Not Posted"
"HAYWOOD",214,"SR1334","FINES CREEK",14,1963,"SD","N",6,"18","26"
"ROCKINGHAM",111,"NC770","BUFFALO CREEK",7,1968,"N","N",96,"Not Posted","Not Posted"
"MARTIN",11,"SR1001","BEAR GRASS SWAMP",1,1967,"N","N",51,"31","35"
